"Command","ReplyLength","ReplyHex","ReplyAscii"
"IH","2","3F 3B","?;"
"II","2","3F 3B","?;"
"IJ","2","3F 3B","?;"
"IK","2","3F 3B","?;"
"IL","2","3F 3B","?;"
"IM","2","3F 3B","?;"
"IO","2","3F 3B","?;"
"IP","2","3F 3B","?;"
"IQ","2","3F 3B","?;"
"IR","2","3F 3B","?;"
"IT","2","3F 3B","?;"
"IU","2","3F 3B","?;"
"IV","2","3F 3B","?;"
"IW","2","3F 3B","?;"
"IX","2","3F 3B","?;"
"IY","2","3F 3B","?;"
"IZ","2","3F 3B","?;"
"JA","2","3F 3B","?;"
"JB","2","3F 3B","?;"
"JC","2","3F 3B","?;"
"JD","2","3F 3B","?;"
"JE","2","3F 3B","?;"
"JF","2","3F 3B","?;"
"JG","2","3F 3B","?;"
"JH","2","3F 3B","?;"
"JI","2","3F 3B","?;"
"JJ","2","3F 3B","?;"
"JK","2","3F 3B","?;"
"JL","2","3F 3B","?;"
"JM","2","3F 3B","?;"
"JN","2","3F 3B","?;"
"JO","2","3F 3B","?;"
"JP","2","3F 3B","?;"
"JQ","2","3F 3B","?;"
"JR","2","3F 3B","?;"
"JS","2","3F 3B","?;"
"JT","2","3F 3B","?;"
"JU","2","3F 3B","?;"
"JV","2","3F 3B","?;"
"JW","2","3F 3B","?;"
"JX","2","3F 3B","?;"
"JY","2","3F 3B","?;"
"JZ","2","3F 3B","?;"
"KA","2","3F 3B","?;"
"KB","2","3F 3B","?;"
"KC","2","3F 3B","?;"
"KD","2","3F 3B","?;"
"KE","2","3F 3B","?;"
"KF","2","3F 3B","?;"
"KG","2","3F 3B","?;"
"KH","2","3F 3B","?;"
"KI","2","3F 3B","?;"
"KJ","2","3F 3B","?;"
"KK","2","3F 3B","?;"
"KL","2","3F 3B","?;"
"KN","2","3F 3B","?;"
"KO","2","3F 3B","?;"
"KQ","2","3F 3B","?;"
"KT","2","3F 3B","?;"
"KU","2","3F 3B","?;"
"KV","2","3F 3B","?;"
"KW","2","3F 3B","?;"
"KX","2","3F 3B","?;"
"KZ","2","3F 3B","?;"
"LA","2","3F 3B","?;"
"LB","2","3F 3B","?;"
"LC","2","3F 3B","?;"
"LD","2","3F 3B","?;"
"LE","2","3F 3B","?;"
"LG","2","3F 3B","?;"
"LH","2","3F 3B","?;"
"LI","2","3F 3B","?;"
"LJ","2","3F 3B","?;"
"LL","2","3F 3B","?;"
"LN","2","3F 3B","?;"
"LO","2","3F 3B","?;"
"LP","2","3F 3B","?;"
"LQ","2","3F 3B","?;"
"LR","2","3F 3B","?;"
"LS","2","3F 3B","?;"
"LT","2","3F 3B","?;"
"LU","2","3F 3B","?;"
"LV","2","3F 3B","?;"
"LW","2","3F 3B","?;"
"LX","2","3F 3B","?;"
"LY","2","3F 3B","?;"
"LZ","2","3F 3B","?;"
"ME","2","3F 3B","?;"
"MF","2","3F 3B","?;"
"MH","2","3F 3B","?;"
"MI","2","3F 3B","?;"
"MJ","2","3F 3B","?;"
"MK","2","3F 3B","?;"
"MM","2","3F 3B","?;"
"MN","2","3F 3B","?;"
"MO","2","3F 3B","?;"
"MP","2","3F 3B","?;"
"MQ","2","3F 3B","?;"
"MU","2","3F 3B","?;"
"MV","2","3F 3B","?;"
"MY","2","3F 3B","?;"
"MZ","2","3F 3B","?;"
"NC","2","3F 3B","?;"
"ND","2","3F 3B","?;"
"NE","2","3F 3B","?;"
"NF","2","3F 3B","?;"
"NG","2","3F 3B","?;"
"NH","2","3F 3B","?;"
"NI","2","3F 3B","?;"
"NJ","2","3F 3B","?;"
"NK","2","3F 3B","?;"
"NM","2","3F 3B","?;"
"NN","2","3F 3B","?;"
"NO","2","3F 3B","?;"
"NP","2","3F 3B","?;"
"NQ","2","3F 3B","?;"
"NS","2","3F 3B","?;"
"NT","2","3F 3B","?;"
"NU","2","3F 3B","?;"
"NV","2","3F 3B","?;"
"NW","2","3F 3B","?;"
"NX","2","3F 3B","?;"
"NY","2","3F 3B","?;"
"NZ","2","3F 3B","?;"
"OA","2","3F 3B","?;"
"OB","2","3F 3B","?;"
"OC","2","3F 3B","?;"
"OD","2","3F 3B","?;"
"OE","2","3F 3B","?;"
"OF","2","3F 3B","?;"
"OG","2","3F 3B","?;"
"OH","2","3F 3B","?;"
"OJ","2","3F 3B","?;"
"OK","2","3F 3B","?;"
"OL","2","3F 3B","?;"
"OM","2","3F 3B","?;"
"OO","2","3F 3B","?;"
"OP","2","3F 3B","?;"
"OQ","2","3F 3B","?;"
"OR","2","3F 3B","?;"
"OT","2","3F 3B","?;"
"OU","2","3F 3B","?;"
"OV","2","3F 3B","?;"
"OW","2","3F 3B","?;"
"OX","2","3F 3B","?;"
"OY","2","3F 3B","?;"
"OZ","2","3F 3B","?;"
"PD","2","3F 3B","?;"
"PE","2","3F 3B","?;"
"PF","2","3F 3B","?;"
"PG","2","3F 3B","?;"
"PH","2","3F 3B","?;"
"PI","2","3F 3B","?;"
"PJ","2","3F 3B","?;"
"PK","2","3F 3B","?;"
"PM","2","3F 3B","?;"
"PN","2","3F 3B","?;"
"PO","2","3F 3B","?;"
"PP","2","3F 3B","?;"
"PQ","2","3F 3B","?;"
"PT","2","3F 3B","?;"
"PU","2","3F 3B","?;"
"PV","2","3F 3B","?;"
"PW","2","3F 3B","?;"
"PX","2","3F 3B","?;"
"PY","2","3F 3B","?;"
"PZ","2","3F 3B","?;"
"QA","2","3F 3B","?;"
"QB","2","3F 3B","?;"
"QC","2","3F 3B","?;"
"QD","2","3F 3B","?;"
"QE","2","3F 3B","?;"
"QF","2","3F 3B","?;"
"QG","2","3F 3B","?;"
"QH","2","3F 3B","?;"
"QJ","2","3F 3B","?;"
"QK","2","3F 3B","?;"
"QL","2","3F 3B","?;"
"QM","2","3F 3B","?;"
"QN","2","3F 3B","?;"
"QO","2","3F 3B","?;"
"QP","2","3F 3B","?;"
"QQ","2","3F 3B","?;"
"QT","2","3F 3B","?;"
"QU","2","3F 3B","?;"
"QV","2","3F 3B","?;"
"QW","2","3F 3B","?;"
"QX","2","3F 3B","?;"
"QY","2","3F 3B","?;"
"QZ","2","3F 3B","?;"
"RB","2","3F 3B","?;"
"RE","2","3F 3B","?;"
"RH","2","3F 3B","?;"
"RJ","2","3F 3B","?;"
"RK","2","3F 3B","?;"
"RN","2","3F 3B","?;"
"RO","2","3F 3B","?;"
"RP","2","3F 3B","?;"
"RQ","2","3F 3B","?;"
"RR","2","3F 3B","?;"
"RV","2","3F 3B","?;"
"RW","2","3F 3B","?;"
"RY","2","3F 3B","?;"
"RZ","2","3F 3B","?;"
"SA","2","3F 3B","?;"
"SB","2","3F 3B","?;"
"SE","2","3F 3B","?;"
"SG","2","3F 3B","?;"
"SI","2","3F 3B","?;"
"SJ","2","3F 3B","?;"
"SK","2","3F 3B","?;"
"SL","2","3F 3B","?;"
"SN","2","3F 3B","?;"
"SO","2","3F 3B","?;"
"SP","0","",""
"SR","2","3F 3B","?;"
"SU","2","3F 3B","?;"
"SX","2","3F 3B","?;"
"SZ","2","3F 3B","?;"
